dataset_id,dataset_name,dataset_name_,test_accuracy
90,Chinatown,lstmfcn_64_cells_weights/Chinatown,0.276968
91,Crop,lstmfcn_64_cells_weights/Crop,0.460952
92,DodgerLoopDay,lstmfcn_64_cells_weights/DodgerLoopDay,0.000000
93,DodgerLoopGame,lstmfcn_64_cells_weights/DodgerLoopGame,0.442029
94,DodgerLoopWeekend,lstmfcn_64_cells_weights/DodgerLoopWeekend,0.681159
95,EOGHorizontalSignal,lstmfcn_64_cells_weights/EOGHorizontalSignal,0.121547
96,EOGVerticalSignal,lstmfcn_64_cells_weights/EOGVerticalSignal,0.116022
97,EthanolLevel,lstmfcn_64_cells_weights/EthanolLevel,0.194000
98,FreezerRegularTrain,lstmfcn_64_cells_weights/FreezerRegularTrain,0.494737
99,FreezerSmallTrain,lstmfcn_64_cells_weights/FreezerSmallTrain,0.493333
